,name,address,point_x,point_y,specify,dataType,gd_point_x,gd_point_y
0,杭州市西湖区大大树幼儿园,浙江省杭州市西湖区莫干山路493-1,120.13969,30.28846,西湖区,幼儿园,120.144724,30.286281
1,杭州市西湖区紫荆幼儿园诚园园区,浙江省杭州市西湖区蒋村西溪人家1幢西北方向183米,120.07651,30.2927,西湖区,幼儿园,120.081397,30.290315
2,杭州凯乐幼儿园,浙江省杭州市西湖区常陇路10号5号楼,120.07951,30.17489,西湖区,幼儿园,120.08415,30.172649
3,杭州市西湖区翠苑第三幼儿园,浙江省杭州市西湖区翠苑新村三区63号,120.116281,30.292548,西湖区,幼儿园,120.120725,30.290563
4,大禹路幼儿园,浙江省杭州市西湖区颐景园曲水苑对面大禹路和大公路交叉口,120.07606,30.33481,西湖区,幼儿园,120.080415,30.332536
5,西点幼儿园,浙江省杭州市西湖区文一西路149号雅仕苑,120.10017,30.28759,西湖区,幼儿园,120.105006,30.285225
6,枫华府第幼儿园西溪里园区,浙江省杭州市西湖区浙江省杭州市西湖区,120.05601,30.29084,西湖区,幼儿园,120.060945,30.288516
7,杭州市西湖区小和山学前教育集团小和山幼儿园,浙江省杭州市西湖区留和路568正西方向180米,120.011409,30.211286,西湖区,幼儿园,120.015875,30.208924
8,杭州市西湖区文苑幼儿园,浙江省杭州市西湖区紫荆花路106号,120.08922,30.28109,西湖区,幼儿园,120.093889,30.278906
9,杭州市西湖区定山幼儿园,浙江省杭州市西湖区霞鸣街169东北方向104米,120.06567,30.14365,西湖区,幼儿园,120.070204,30.141566
10,西湖区蓝精灵幼儿园,浙江省杭州市西湖区轮渡路16号,120.12284,30.12334,西湖区,幼儿园,120.127409,30.121053
11,政苑幼儿园,浙江省杭州市西湖区政苑小区73-1,120.09756,30.29923,西湖区,幼儿园,120.102335,30.296871
12,茅家埠幼儿园,浙江省杭州市西湖区上茅家埠29-1,120.11854,30.24036,西湖区,幼儿园,120.123273,30.238126
13,西湖区小天使幼儿园,浙江省杭州市西湖区袁浦街34号,120.12125,30.11899,西湖区,幼儿园,120.125696,30.116861
14,闻裕顺学前教育集团西庐幼儿园,浙江省杭州市西湖区紫霞街271东南方向95米,120.05162,30.29385,西湖区,幼儿园,120.056486,30.291522
15,杭州市西湖区转塘幼儿园,浙江省杭州市西湖区方家路9号,120.06967,30.16231,西湖区,幼儿园,120.074175,30.160195
16,西湖区袁浦幼儿园,浙江省杭州市西湖区袁浦街82号,120.11958,30.11693,西湖区,幼儿园,120.124234,30.114707
17,杭州市西湖区新蕾幼儿园,浙江省杭州市西湖区转塘街道南村225号,120.09382,30.12551,西湖区,幼儿园,120.095145,30.128694
18,陈经纶体育学校幼儿园,浙江省杭州市西湖区曙光路126号,120.13362,30.26726,西湖区,幼儿园,120.137484,30.265571
19,西湖区申花路幼儿园秀月园区,浙江省杭州市西湖区美林湾城市公寓绿岸苑1幢1-1附近东北方向152米,120.09206,30.32341,西湖区,幼儿园,120.09695,30.321302
20,杭师大幼儿园,浙江省杭州市西湖区教工路142号,120.13216,30.28353,西湖区,幼儿园,120.136045,30.281017
21,杭州市西湖区紫荆幼儿园,浙江省杭州市西湖区紫荆花路290,120.08795,30.29264,西湖区,幼儿园,120.093232,30.290338
22,普普幼儿园,浙江省杭州市西湖区振华路200号瑞鼎大厦斜对面西北方向100米,120.065637,30.315669,西湖区,幼儿园,120.069862,30.313049
23,武林门幼儿园西区,浙江省杭州市西湖区马塍路9号,120.14405,30.27805,西湖区,幼儿园,120.148943,30.275802
24,杭州市西湖区景汇幼儿园,浙江省杭州市西湖区汇周街108,120.0614,30.352,西湖区,幼儿园,120.066344,30.349924
25,杭州市乐莺幼儿园,浙江省杭州市西湖区长阳路93正西方向100米,120.0896,30.32723,西湖区,幼儿园,120.094124,30.324882
26,东方幼儿园,浙江省杭州市西湖区紫荆花路282,120.0878,30.29034,西湖区,幼儿园,120.092789,30.288049
27,绕城幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.0499,30.33993,西湖区,幼儿园,120.054895,30.3375
28,杭州市西湖区留下幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.05283,30.24365,西湖区,幼儿园,120.057483,30.240996
29,翠苑第二幼儿园,浙江省杭州市西湖区翠苑新村二区11-2,120.12298,30.292,西湖区,幼儿园,120.127833,30.28973
30,杭州市西湖区文新学前教育集团自在城幼儿园,浙江省杭州市西湖区嘉仁路499东南方向134米,120.06758,30.33653,西湖区,幼儿园,120.072594,30.334313
31,周浦幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.069728,30.094904,西湖区,幼儿园,120.074173,30.092417
32,浙江省级机关府苑幼儿园,浙江省杭州市西湖区府苑新村,120.088,30.26803,西湖区,幼儿园,120.092963,30.265891
33,杭州市西湖区新天地幼儿园,浙江省杭州市西湖区振华路197,120.071788,30.317091,西湖区,幼儿园,120.076218,30.314704
34,浙江省交通运输厅幼儿园,浙江省杭州市西湖区宝石山下四弄18号,120.14466,30.26489,西湖区,幼儿园,120.149039,30.262591
35,杭州市西子湖幼儿园(三台山园区),浙江省杭州市西湖区三台云舍12-1,120.129,30.22764,西湖区,幼儿园,120.133978,30.225709
36,祥符艺术幼儿园长阳园区,浙江省杭州市西湖区三墩路416正南方向39米,120.09088,30.3265,西湖区,幼儿园,120.0957,30.324157
37,杭州市西湖区育博幼儿园,浙江省杭州市西湖区汇禾领府东10,120.06762,30.32434,西湖区,幼儿园,120.072434,30.321948
38,天虹幼儿园水月园区,浙江省杭州市西湖区城北商贸园34幢,120.08805,30.31284,西湖区,幼儿园,120.092817,30.310479
39,小桔灯幼儿园,浙江省杭州市西湖区杨家牌楼2号,120.07032,30.24229,西湖区,幼儿园,120.075362,30.239958
40,杭州市西湖区海鸿幼儿园,浙江省杭州市西湖区临秀苑底商9,120.06674,30.34656,西湖区,幼儿园,120.071506,30.344523
41,枫华府第幼儿园庆丰园区,浙江省杭州市西湖区玉古路165-1,120.12316,30.26905,西湖区,幼儿园,120.128096,30.266723
42,杭州市西湖区金太阳幼儿园,浙江省杭州市西湖区西溪路643正北方向145米,120.08625,30.25829,西湖区,幼儿园,120.090999,30.256317
43,杭州市西湖区三坝幼儿园金地园区,浙江省杭州市西湖区厚仁路369号三墩新天地商业中心13幢正东方向155米,120.07061,30.33626,西湖区,幼儿园,120.075598,30.333947
44,杭州市西湖区石灰桥幼儿园,浙江省杭州市西湖区莫干山路491号西南方向150米,120.1401,30.28748,西湖区,幼儿园,120.144896,30.285184
45,回龙幼儿园,浙江省杭州市西湖区转塘镇南村正南方向110米,120.098436,30.126068,西湖区,幼儿园,120.103379,30.123914
46,三墩镇中心幼儿园,浙江省杭州市西湖区庙前街55,120.07765,30.32218,西湖区,幼儿园,120.082269,30.319922
47,浙江大学幼儿园玉泉分园,浙江省杭州市西湖区浙大路18浙大求是社区,120.125354,30.264991,西湖区,幼儿园,120.1303,30.262994
48,翠苑第一幼儿园,浙江省杭州市西湖区翠苑新村一区49,120.12303,30.28871,西湖区,幼儿园,120.127799,30.286713
49,名苑学前教育集团和家园幼儿园,浙江省杭州市西湖区留下镇杨梅山路305号,120.05874,30.238,西湖区,幼儿园,120.063653,30.235947
50,浙江大学西溪幼儿园,浙江省杭州市西湖区天目山路148号浙江大学西溪校区,120.13814,30.27681,西湖区,幼儿园,120.142874,30.274545
51,浙江省级机关北山幼儿园,浙江省杭州市西湖区保m路45,120.14616,30.26496,西湖区,幼儿园,120.150792,30.262292
52,杭州市西湖区古荡幼儿园,浙江省杭州市西湖区古荡东区36幢,120.11304,30.27719,西湖区,幼儿园,120.118124,30.274896
53,杭州市金都中心幼儿园,浙江省杭州市西湖区古墩路415,120.09263,30.28757,西湖区,幼儿园,120.097256,30.285322
54,枫华府第幼儿园,浙江省杭州市西湖区华星路6-2,120.12213,30.28204,西湖区,幼儿园,120.126998,30.279794
55,文新学前教育集团金地幼儿园,浙江省杭州市西湖区欣然街88东南方向96米,120.06452,30.33291,西湖区,幼儿园,120.069289,30.330682
56,杭州市西湖区翠苑第四幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.11707,30.28873,西湖区,幼儿园,120.121826,30.286374
57,西溪花园幼儿园,浙江省杭州市西湖区晴川街与崇义路交叉路口白荻苑内,120.0558,30.28618,西湖区,幼儿园,120.061002,30.283909
58,杭州市西湖区启蒙幼儿园,浙江省杭州市西湖区灯彩街50,120.08349,30.32901,西湖区,幼儿园,120.088433,30.326803
59,杭州市西湖区九莲幼儿园,浙江省杭州市西湖区九莲新村1号,120.12879,30.27989,西湖区,幼儿园,120.1335,30.277547
60,西溪花园幼儿园竞舟苑园区,浙江省杭州市西湖区晴川街571,120.05138,30.28575,西湖区,幼儿园,120.056045,30.283403
61,闻裕顺学前教育集团之江幼儿园,浙江省杭州市西湖区枫桦路1号珊瑚沙家园,120.09626,30.16656,西湖区,幼儿园,120.101069,30.16427
62,杭州市文三街小学,浙江省杭州市西湖区浙江省杭州市西湖区,120.13968,30.27919,西湖区,小学,120.144192,30.276748
63,转塘小学(凌家桥校区),浙江省杭州市西湖区凌家桥,120.075945,30.139296,西湖区,小学,120.080785,30.136914
64,杭州市大禹路小学甲来路校区,浙江省杭州市西湖区甲来路86,120.06224,30.34223,西湖区,小学,120.067571,30.33959
65,杭州市文三教育集团九莲小学,浙江省杭州市西湖区影业路55,120.12842,30.28127,西湖区,小学,120.132766,30.279031
66,育才教育集团第二实验学校,浙江省杭州市西湖区黄姑山横路70,120.12672,30.27701,西湖区,小学,120.131547,30.275168
67,学军小学紫金港校区,浙江省杭州市西湖区萍水西街198,120.0899,30.3027,西湖区,小学,120.094907,30.301115
68,求是(和家园)小学,浙江省杭州市西湖区浙江省杭州市西湖区,120.05952,30.24242,西湖区,小学,120.064598,30.240125
69,杭州市省府路小学秋水苑校区,浙江省杭州市西湖区莲花街108,120.10244,30.2751,西湖区,小学,120.107351,30.273024
70,杭州绿城育华小学,浙江省杭州市西湖区文一西路532-1正北方向197米,120.08,30.29304,西湖区,小学,120.086338,30.290406
71,杭州市文溪小学,浙江省杭州市西湖区凌波路8号,120.051563,30.282808,西湖区,小学,120.055868,30.28002
72,转塘小学回龙校区,浙江省杭州市西湖区转塘街道南村225号东北方向193米,120.0923,30.12415,西湖区,小学,120.097605,30.122206
73,翠苑第一小学翠苑校区,浙江省杭州市西湖区文一路375号,120.12259,30.28981,西湖区,小学,120.126909,30.28741
74,杭州市行知第二小学,浙江省杭州市西湖区浙江省杭州市西湖区,120.056438,30.295873,西湖区,小学,120.061361,30.294324
75,杭州市文三教育集团定山小学,浙江省杭州市西湖区灵凤街178,120.066207,30.142189,西湖区,小学,120.071144,30.140748
76,杭州市袁浦小学,浙江省杭州市西湖区双浦镇兰溪口村1号,120.11655,30.1171,西湖区,小学,120.12108,30.114187
77,文一街小学秀水校区,浙江省杭州市西湖区秀里街306,120.09102,30.32431,西湖区,小学,120.096176,30.322115
78,浙江大学附属第二小学,浙江省杭州市西湖区五常港路469正东方向151米,120.06077,30.30305,西湖区,小学,120.06499,30.300978
79,杭州市竞舟小学,浙江省杭州市西湖区竞舟路221,120.09836,30.2866,西湖区,小学,120.103223,30.284755
80,杭州市翠苑第二小学,浙江省杭州市西湖区翠苑三区165号,120.117323,30.286182,西湖区,小学,120.12131,30.29112
81,杭州市西湖小学教育集团西湖小学,浙江省杭州市西湖区曙光路143号,120.12596,30.25582,西湖区,小学,120.131147,30.253583
82,杭州市古荡第一小学,浙江省杭州市西湖区益乐路6-1,120.11181,30.27651,西湖区,小学,120.117034,30.274147
83,浙江外国语学院附属实验学校,浙江省杭州市西湖区黄姑山横路70,120.12672,30.27701,西湖区,小学,120.087858,30.282102
84,杭州市之江外语实验学校,浙江省杭州市西湖区文一路天河西苑,120.1006,30.29255,西湖区,小学,120.105562,30.290625
85,杭州市西子湖小学,浙江省杭州市西湖区龙井路76号,120.118146,30.23958,西湖区,小学,120.117027,30.186423
86,杭州市周浦小学,浙江省杭州市西湖区周家埭408,120.06871,30.10281,西湖区,小学,120.073319,30.099839
87,杭州市三墩小学双桥校区,浙江省杭州市西湖区肖家坝12号,120.035869,30.332421,西湖区,小学,120.040664,30.329902
88,杭州市之江第二小学,浙江省杭州市西湖区文景路330,120.09004,30.16259,西湖区,小学,120.094995,30.160328
89,杭州市星洲小学,浙江省杭州市西湖区紫荆花路288,120.08849,30.29128,西湖区,小学,120.093318,30.289407
90,杭州市紫荆花学校,浙江省杭州市西湖区竞舟路222,120.1,30.28635,西湖区,小学,120.104718,30.283954
91,杭州市钱塘外语学校,浙江省杭州市西湖区文二西路88号,120.10707,30.28554,西湖区,小学,120.111842,30.282988
92,杭州市文一街小学,浙江省杭州市西湖区保m北路88号,120.13729,30.28974,西湖区,小学,120.142503,30.287415
93,杭州市文新小学,浙江省杭州市西湖区文三西路491,120.088431,30.27525,西湖区,小学,120.092795,30.272862
94,浙江省教育厅教研室附属小学,浙江省杭州市西湖区浙江省杭州市西湖区,120.1167,30.28739,西湖区,小学,120.121338,30.285839
95,杭州市三墩小学,浙江省杭州市西湖区振华路28,120.07628,30.31826,西湖区,小学,120.080448,30.315419
96,杭州市学军小学之江校区,浙江省杭州市西湖区梦园街188,120.064912,30.163091,西湖区,小学,120.06951,30.161319
97,浙江省教育技术中心实验小学,浙江省杭州市西湖区益乐路6-1,120.11181,30.27651,西湖区,小学,120.116531,30.274043
98,浙江外国语学院附属实验小学,浙江省杭州市西湖区留下大街2号,120.04889,30.24153,西湖区,小学,120.054254,30.239262
99,杭州市长桥小学,浙江省杭州市西湖区南山路64,120.14852,30.2314,西湖区,小学,120.153257,30.229072
100,杭州市文三教育集团文理小学,浙江省杭州市西湖区嘉仁路499,120.06883,30.33599,西湖区,小学,120.073406,30.333217
101,杭州外国语学校,浙江省杭州市西湖区留和路309,120.02981,30.22235,西湖区,中学,120.03417,30.219534
102,浙江省杭州第七中学,浙江省杭州市西湖区转塘环山路1号,120.053046,30.150409,西湖区,中学,120.057339,30.148848
103,长阳中学,浙江省杭州市西湖区长阳路2,120.09022,30.32709,西湖区,中学,120.094796,30.324312
104,杭州市嘉绿苑中学,浙江省杭州市西湖区华星路218,120.11131,30.2813,西湖区,中学,120.11602,30.279944
105,杭州市上泗中学,浙江省杭州市西湖区沈家路东南方向120米,120.06245,30.16411,西湖区,中学,120.067135,30.161099
106,杭州市公益中学,浙江省杭州市西湖区浙江省杭州市西湖区,120.08316,30.28378,西湖区,中学,120.087993,30.282809
107,杭州市西溪实验学校,浙江省杭州市西湖区文一西路578,120.07319,30.28965,西湖区,中学,120.07834,30.288013
108,浙江工业大学附属实验学校,浙江省杭州市西湖区杨梅山路388号,120.051621,30.235507,西湖区,中学,120.056777,30.233633
109,杭州市翠苑中学翠苑校区,浙江省杭州市西湖区翠苑二区37幢,120.12158,30.29282,西湖区,中学,120.12601,30.290304
110,浙江大学附属中学,浙江省杭州市西湖区曙光路91,120.12669,30.2607,西湖区,中学,120.131434,30.258884
111,杭州市袁浦中学,浙江省杭州市西湖区浙江省杭州市西湖区,120.12417,30.1193,西湖区,中学,120.128839,30.117839
112,杭州市翠苑中学文华校区,浙江省杭州市西湖区古墩路580号,120.09447,30.2908,西湖区,中学,120.099294,30.289036
113,杭州市紫金港中学,浙江省杭州市西湖区古墩路萍水路口,120.094203,30.300762,西湖区,中学,120.099668,30.298177
114,杭州学军中学,浙江省杭州市西湖区文三路188号,120.1348,30.27981,西湖区,中学,120.139189,30.278365
115,杭州市保m塔实验学校(松木场校区),浙江省杭州市西湖区天目山路81号,120.144031,30.274038,西湖区,中学,120.149558,30.270504
116,杭州师范大学附属中学,浙江省杭州市西湖区振华路5,120.08024,30.31915,西湖区,中学,120.085319,30.315893
117,杭州东方中学,浙江省杭州市西湖区小龙驹坞72号附近,120.08219,30.25676,西湖区,中学,120.088456,30.254313
118,杭州丰潭中学,浙江省杭州市西湖区丰潭路2号,120.10728,30.2752,西湖区,中学,120.1128,30.272573
119,杭州市三墩中学,浙江省杭州市西湖区振华路9,120.07772,30.31899,西湖区,中学,120.082517,30.315974
120,杭州市西湖高级中学,浙江省杭州市西湖区留下街2号,120.05641,30.24513,西湖区,中学,120.061384,30.241297
121,杭州周浦中学,浙江省杭州市西湖区周浦乡周浦街15号,120.071757,30.093282,西湖区,中学,120.076843,30.091413
122,浙江体育职业技术学院,浙江省杭州市西湖区教工路49号,120.12998,30.28121,西湖区,中专,120.135088,30.278427
123,杭州市电子信息职业学校,浙江省杭州市西湖区高技街2,120.11869,30.2875,西湖区,中专,120.123536,30.285197
124,杭州计算机学校,浙江省杭州市西湖区浮山东路1号,120.085442,30.135227,西湖区,中专,120.09011,30.132989
125,杭州第一技师学院,浙江省杭州市西湖区浙江省杭州市西湖区,120.077184,30.256798,西湖区,中专,120.082706,30.252459
126,浙江科技学院(小和山校区),浙江省杭州市西湖区留和路318号,120.023012,30.221232,西湖区,大专,120.02832,30.21891
127,浙江体育职业技术学院教工路校区,浙江省杭州市西湖区教工路49号,120.12998,30.2812,西湖区,大专,120.134738,30.278463
128,杭州市余杭区良渚喜羊羊幼儿园,浙江省杭州市余杭区庙长桥路1号,120.09413,30.35727,余杭区,幼儿园,120.098733,30.355178
129,国泰西园幼儿园,浙江省杭州市余杭区余杭镇禹航路凤都苑,119.94314,30.26534,余杭区,幼儿园,119.94768,30.262757
130,闲林中心幼儿园,浙江省杭州市余杭区浙江省杭州市余杭区,119.9775,30.22303,余杭区,幼儿园,119.981991,30.220391
131,余杭区勾庄中心幼儿园金家渡园区,浙江省杭州市余杭区曹家路69,120.080778,30.348272,余杭区,幼儿园,120.085339,30.346129
132,北湖绿洲幼儿园,浙江省杭州市余杭区浙江省杭州市余杭区,119.97389,30.38102,余杭区,幼儿园,119.979214,30.378666
133,美好晨星幼儿园,浙江省杭州市余杭区浙江省杭州市余杭区,119.96616,30.37099,余杭区,幼儿园,119.970479,30.368415
134,西点天阳幼儿园,浙江省杭州市余杭区棕榈路89西南方向185米,120.083752,30.36394,余杭区,幼儿园,120.088795,30.361419
135,杭州市余杭区绿苑幼儿园,浙江省杭州市余杭区绿园村63,119.96535,30.40188,余杭区,幼儿园,119.970162,30.399338
136,绿城育华翡翠城幼儿园,浙江省杭州市余杭区闲林镇五常大道和高教路路口,120.014,30.24628,余杭区,幼儿园,120.01873,30.24376
137,大观山幼儿园,浙江省杭州市余杭区葡萄畈145正南方向82米,119.975767,30.39743,余杭区,幼儿园,119.979604,30.394665
138,玉鸟幼儿园,浙江省杭州市余杭区良渚镇良渚文化村,120.023338,30.369192,余杭区,幼儿园,120.028555,30.366893
139,勾庄中心幼儿园肇和分园,浙江省杭州市余杭区浙江省杭州市余杭区,120.09521,30.37951,余杭区,幼儿园,120.100044,30.377194
140,彭公中心幼儿园,浙江省杭州市余杭区郎家井20,119.91868,30.41124,余杭区,幼儿园,119.923109,30.40867
141,西点铭雅幼儿园,浙江省杭州市余杭区铭雅苑东区文体中心正北方向39米,120.08044,30.340797,余杭区,幼儿园,120.085493,30.338443
142,绿城育华亲亲幼儿园,浙江省杭州市余杭区三和大街41号亲亲家园坤和道北入口,120.0863,30.33758,余杭区,幼儿园,120.091303,30.335166
143,百丈镇中心幼儿园溪口分园,浙江省杭州市余杭区浙江省杭州市余杭区,119.76629,30.49216,余杭区,幼儿园,119.771495,30.487507
144,杭州市余杭区鑫鑫幼儿园,浙江省杭州市余杭区良渚镇勾庄丁公村三源印刷有限公司旁,120.07708,30.3656,余杭区,幼儿园,120.08187,30.363353
145,余杭区凤凰幼儿园,浙江省杭州市余杭区城东路7正东方向180米,119.94916,30.25508,余杭区,幼儿园,119.953845,30.252285
146,杭州市阳光宝贝方汇幼儿园,浙江省杭州市余杭区城南路322方汇花苑,119.94286,30.25881,余杭区,幼儿园,119.94751,30.256082
147,径山镇中心幼儿园,浙江省杭州市余杭区吴山路5号,119.866984,30.38844,余杭区,幼儿园,119.878523,30.378574
148,西塘河幼儿园,浙江省杭州市余杭区西塘河村11组新塘苑39号,120.06571,30.369,余杭区,幼儿园,120.070474,30.366708
149,启蒙爵士风情幼儿园,浙江省杭州市余杭区爵士风情花园日辉苑15幢,119.98733,30.23884,余杭区,幼儿园,119.991821,30.236592
150,杭州市余杭区西塘雅苑幼儿园白洋里园区,浙江省杭州市余杭区浙江省杭州市余杭区,120.07634,30.348933,余杭区,幼儿园,120.081002,30.346738
151,余杭区贝贝幼儿园,浙江省杭州市余杭区浙江省杭州市余杭区,120.00341,30.2356,余杭区,幼儿园,120.00796,30.232865
152,杭州市余杭区荀山幼儿园,浙江省杭州市余杭区莫干山路2859,120.037,30.38209,余杭区,幼儿园,120.04166,30.379699
153,绿城育华瑞和幼儿园,浙江省杭州市余杭区良渚街道瑞和园小区南面,120.04683,30.36948,余杭区,幼儿园,120.051419,30.367231
154,余杭区鸬鸟镇中心幼儿园,浙江省杭州市余杭区雅城106东南方向165米,119.75464,30.4553,余杭区,幼儿园,119.759536,30.452854
155,杭州市余杭区3之3闲湖城幼儿园,浙江省杭州市余杭区闲林中路2西南方向59米,119.98662,30.2236,余杭区,幼儿园,119.991566,30.221415
156,闲林白洋畈幼儿园,浙江省杭州市余杭区圣地路12-1正东方向100米,119.97348,30.233832,余杭区,幼儿园,119.978331,30.230507
157,瓶窑镇第一幼儿园,浙江省杭州市余杭区凤溪路349,119.96705,30.393,余杭区,幼儿园,119.972026,30.390058
158,余杭区南湖幼儿园教育集团南安分园,浙江省杭州市余杭区余杭街道南安路58号,119.93621,30.27155,余杭区,幼儿园,119.940808,30.269013
159,江南春・闲林山水幼儿园,浙江省杭州市余杭区闲林镇闲林山水,120.0096,30.23633,余杭区,幼儿园,120.014402,30.233867
160,杭州市余杭区金舟城幼儿园,浙江省杭州市余杭区径东路43,119.85191,30.33972,余杭区,幼儿园,119.856694,30.337472
161,杭州英联幼儿园,浙江省杭州市余杭区春漫里60幢2单元303西南方向98米,120.0203,30.3608,余杭区,幼儿园,120.024724,30.358497
162,云会中心小学,浙江省杭州市余杭区西南山北路66号,120.08525,30.42253,余杭区,小学,120.089679,30.420385
