,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape
0,6.0,义乌中未摇篮幼儿园有限公司,义乌市稠江街道童,120.048096,29.303992,金华市,义乌市,稠江街道,幼儿园,330782.0,学前教育,,01010000208A11000060C43E0114035E40E03E726BD24D3D40
1,383.0,杭州明路蔚蓝幼儿园有限公司,杭州市余杭区五常街道三维智汇中心6幢1单元101室、6幢2单元101室、7幢1单元101室,120.0121874,30.28829627,杭州市,余杭区,五常街道,幼儿园,330110.0,学前教育,,01010000208A110000181BA9ADC7005E40F0E9C6C8CD493E40
2,786.0,杭州初阳幼儿园有限公司,杭州市西湖区蒋村街道双龙街199号,120.0628519,30.29332784,杭州市,西湖区,蒋村街道,幼儿园,330106.0,学前教育,,01010000208A1100000833E3C305045E4070CE8788174B3E40
3,1163.0,杭州市西湖区山水学前教育集团（总园）,杭州市西湖区莲花街97号山水人家小区内,120.1028131,30.27288429,杭州市,西湖区,古荡街道,幼儿园,330106.0,学前教育,,01010000208A11000028155F7D94065E406024ADBEDB453E40
4,1428.0,杭州西溪伟才幼儿园有限公司,杭州市西湖区天目山路363号,120.0835248,30.26246229,杭州市,西湖区,留下街道,幼儿园,330106.0,学前教育,,01010000208A11000000DF807858055E4030B083BA30433E40
5,1547.0,杭州市余杭区昂立天都城幼儿园,杭州市余杭区星桥街道天月苑内,120.243687,30.389117,杭州市,余杭区,星桥街道,幼儿园,330110.0,学前教育,,01010000208A11000078DD5B91980F5E405051F52B9D633E40
6,1640.0,义乌市佛堂镇石北幼儿园,佛堂镇石北村,120.089069,29.219266,金华市,义乌市,佛堂镇,幼儿园,330782.0,学前教育,,01010000208A1100009885764EB3055E40F01F0BD121383D40
7,1642.0,浙江远大专修学院,浙江省杭州市西湖区翠苑街道黄姑山社区,120.117062,30.27849482,杭州市,西湖区,翠苑街道,民办的其他高等教育机构,330106.0,其他教育,,01010000208A110000B894AEF17D075E40F07AD56F4B473E40
8,2251.0,杭州市西湖区文新学前教育集团（总园）,杭州市西湖区古墩路580-2,120.094461,30.29080745,杭州市,西湖区,文新街道,幼儿园,330106.0,学前教育,,01010000208A110000989528A60B065E40E0975E5B724A3E40
9,2307.0,义乌市荷塘月色幼儿园,义乌市福田街道西城北路荷塘月色小区内,120.0987628,29.36223802,金华市,义乌市,福田街道,幼儿园,330782.0,学前教育,,01010000208A110000E0DB4F2152065E40A07292A1BB5C3D40
10,2443.0,中国美术学院附属中等美术学校,杭州市西湖区转塘象山352号,120.0700387,30.15954613,杭州市,西湖区,转塘街道,中等技术学校,330106.0,中等教育,,01010000208A1100001814A2837B045E40A05FD103D8283E40
11,2881.0,杭州应用声学研究所,杭州市西湖区留下街道屏峰715号,120.0461603,30.22756827,杭州市,西湖区,留下街道,培养研究生的科研机构,330106.0,其他教育,,01010000208A11000038576C4AF4025E40F06F16EA413A3E40
12,2916.0,宁波市鄞州区重竞技学校,宁波市鄞州区鄞江镇朱节岭路100号,121.3566056,29.78617955,宁波市,海曙区,鄞江镇,完全中学,330203.0,中等教育,,01010000208A110000200C72A0D2565E40C09F281043C93D40
13,3483.0,宁波市海曙区高桥镇中心初级中学,宁波市海曙区高桥镇芦港村1号,121.4773567,29.89544927,宁波市,海曙区,高桥镇,初级中学,330203.0,中等教育,,01010000208A110000602832038D5E5E4080E0D1293CE53D40
14,4095.0,杭州市求是教育集团（总校）,浙江省杭州市西湖区浙大路18号,120.1243428,30.26333071,杭州市,西湖区,灵隐街道,小学,330106.0,初等教育,,01010000208A11000058965F3BF5075E4000C737A469433E40
15,4322.0,宁波市海曙区蜜蜂王国伟才幼儿园有限公司,宁波市海曙区古林镇气象路827号,121.5036486,29.86235187,宁波市,海曙区,古林镇,幼儿园,330203.0,学前教育,,01010000208A110000300F34C73B605E407079A817C3DC3D40
16,4326.0,宁波市二轻工业管理局第一幼儿园,海曙区安丰街37号,121.5076847,29.86970761,宁波市,海曙区,白云街道,幼儿园,330203.0,学前教育,,01010000208A11000030C3E8E77D605E4040716528A5DE3D40
17,4374.0,宁波市海曙区莓茜伊顿幼儿园有限公司,宁波市海曙区雅戈尔大道211号,121.500346,29.82856712,宁波市,海曙区,石\街道,幼儿园,330203.0,学前教育,,01010000208A110000E07054AB05605E4070D397F91CD43D40
18,4674.0,义乌市江东街道世纪阳光幼儿园,义乌市江东街道塔下洲A区新街7幢,120.0421677,29.2716619,金华市,义乌市,江东街道,幼儿园,330782.0,学前教育,,01010000208A110000780117E0B2025E4040F46CA28B453D40
19,4705.0,浙江省省级机关职工业余大学,杭州市西湖区教工路135号,120.130358,30.28674556,杭州市,西湖区,翠苑街道,职工高校,330106.0,高等学校,,01010000208A1100008898E7C857085E4090FF1C2868493E40
20,4842.0,浙江求智专修学院,浙江省杭州市文三路140号,120.1381229,30.27999922,杭州市,西湖区,西溪街道,民办的其他高等教育机构,330106.0,其他教育,,01010000208A11000008956E01D7085E40C0B07107AE473E40
21,6743.0,杭州市余杭区运河五洋幼儿园,杭州市余杭区运河五杭繁荣路57号,120.267659,30.498645,杭州市,余杭区,运河街道,幼儿园,330110.0,学前教育,,01010000208A110000B8DE365321115E406050DF32A77F3E40
22,6762.0,义乌市城西街道新苗幼儿园,浙江省义乌市城西街道上杨村41幢,119.948886,29.28792,金华市,义乌市,城西街道,幼儿园,330782.0,学前教育,,01010000208A1100007868588CBAFC5D4040DD0720B5493D40
23,7415.0,德清县雷甸镇第二幼儿园,浙江省湖州市德清县雷甸镇塘北村村委,120.15657,30.48214286,湖州市,德清县,雷甸镇,幼儿园,330521.0,学前教育,,01010000208A1100005849003E050A5E40B0FEEBB66D7B3E40
24,8207.0,义乌市赤岸镇山盘幼儿园,义乌市赤岸镇山盘村,120.014289,29.112534,金华市,义乌市,赤岸镇,幼儿园,330782.0,学前教育,,01010000208A11000050EC681CEA005E4020B03907CF1C3D40
25,8290.0,义乌市赤岸镇烈兰幼儿园,义乌市赤岸镇南青口村,120.049619,29.166532,金华市,义乌市,赤岸镇,幼儿园,330782.0,学前教育,,01010000208A110000A8902BF52C035E40D0BC55D7A12A3D40
26,8410.0,义乌市佛堂镇第二小学,义乌市佛堂镇湖山村,120.002165,29.209551,金华市,义乌市,佛堂镇,小学,330782.0,初等教育,,01010000208A110000880CAB7823005E4010D86322A5353D40
27,9508.0,杭州市余杭区金都夏宫艺术幼儿园,浙江省杭州市余杭区临平北沙西路156号,120.262876,30.430273,杭州市,余杭区,临平街道,幼儿园,330110.0,学前教育,,01010000208A110000D0B9DBF5D2105E40105A0F5F266E3E40
28,10849.0,义乌市稠江飞翔幼儿园,义乌市稠江街道下金村号,120.003539,29.248019,金华市,义乌市,稠江街道,幼儿园,330782.0,学前教育,,01010000208A110000B050A4FB39005E4060C9552C7E3F3D40
29,10865.0,杭州市江干区三卫幼儿园,杭州市江干区九堡街道三卫社区过渡房四号楼边,120.270803,30.339217,杭州市,余杭区,乔司街道,幼儿园,330104.0,学前教育,,01010000208A110000282A1BD654115E40503FE1ECD6563E40
30,11267.0,义乌市佛堂镇塘下洋幼儿园,佛堂镇塘下洋村,120.00924,29.173823,金华市,义乌市,佛堂镇,幼儿园,330782.0,学前教育,,01010000208A11000028745E6397005E40F04A04AA7F2C3D40
31,11876.0,义乌市义亭镇白塘幼儿班,义乌市义亭镇白塘村35号一楼,119.972768,29.227895,金华市,义乌市,义亭镇,幼儿园,330782.0,学前教育,,01010000208A11000018A6B6D441FE5D4000ECA353573A3D40
32,12399.0,义乌市佛堂镇雅西幼儿园,佛堂镇雅西村一排8号,120.02557,29.178802,金华市,义乌市,佛堂镇,幼儿园,330782.0,学前教育,,01010000208A11000090705AF0A2015E40A075C6F7C52D3D40
33,13164.0,义乌市稠城大塘下幼儿园,浙江省金华市义乌市稠城街道大塘下二区15栋,120.075218,29.338233,金华市,义乌市,稠城街道,幼儿园,330782.0,学前教育,,01010000208A1100008084285FD0045E40906D197096563D40
34,13485.0,中国人民解放军第一一七医院幼儿园,杭州市灵隐路14号,120.1110956,30.24845979,杭州市,西湖区,灵隐街道,幼儿园,330106.0,学前教育,,01010000208A110000C87E82301C075E40D06B900F9B3F3E40
35,14094.0,中国人民解放军73021部队星星艺术幼儿园,杭州市西溪路954号,120.0608093,30.2512082,杭州市,西湖区,留下街道,幼儿园,330106.0,学前教育,,01010000208A110000D8A5DB4CE4035E40B07C3B2E4F403E40
36,14178.0,杭州市西湖区名苑学前教育集团（总园）,西湖区益乐路嘉绿名苑小区内,120.1079873,30.28250233,杭州市,西湖区,古荡街道,幼儿园,330106.0,学前教育,,01010000208A110000C0BB8543E9065E40D0649C1252483E40
